Sorteo,numero 1,numero 2,numero 3,numero 4,numero 5
1150,38,6,20,30,15
1151,4,8,50,2,27
1152,45,29,37,7,17
1153,16,8,26,35,24
1154,3,45,44,12,36
1155,31,4,12,43,9
1156,15,28,42,37,40
1157,1,3,47,29,48
1158,32,2,1,5,21
1159,5,31,18,21,35
1160,44,27,23,17,43
1161,15,37,5,17,44
1162,14,36,24,43,40
1163,49,17,37,32,14
1164,10,7,13,2,42
1165,9,10,28,41,13
1166,6,48,19,45,39
1167,25,30,5,26,8
1168,17,16,4,32,18
1169,3,10,26,23,12
1170,21,19,45,20,42
1171,17,11,37,48,26
1172,4,13,7,42,23
1173,29,12,38,44,42
1174,1,18,39,48,9
1175,12,2,34,50,15
1176,8,4,43,31,5
1177,34,16,35,45,13
1178,11,25,8,28,1
1179,19,7,11,37,27
1180,19,32,31,3,22
1181,19,48,31,39,1
1182,33,22,35,25,29
1183,5,26,46,6,30
1184,29,49,41,9,23
1185,15,16,13,6,1
1186,39,14,24,32,26
1187,3,41,26,46,21
1188,31,43,14,25,37
1189,46,12,13,39,11
1190,34,36,50,41,6
1191,49,38,27,34,15
1192,19,8,18,1,39
1193,50,33,29,3,27
1194,29,47,15,3,35
1195,9,19,26,31,6
1196,16,10,46,39,6
1197,40,17,24,19,18
1198,5,13,7,19,31
1199,46,24,42,15,3
1200,9,6,1,47,34
1201,17,43,26,4,30
1202,47,43,19,23,12
1203,13,23,26,47,32
1204,9,26,16,2,36
1205,7,45,10,1,29
1206,38,41,18,29,21
1207,46,28,1,35,36
1208,1,49,15,8,44
1209,32,49,8,7,41
1210,23,44,18,27,42
1211,33,35,50,47,14
1212,20,26,12,48,5
1213,2,20,27,43,9
1214,32,20,47,7,26
1215,1,45,27,4,48
1216,14,25,50,10,17
1217,42,16,28,43,45
1218,47,32,34,33,39
1219,5,30,49,23,16
1220,28,7,29,19,20
1221,1,26,23,35,24
1222,31,32,9,39,41
1223,34,16,4,1,20
1224,27,46,42,25,39
1225,30,1,39,13,31
1226,44,40,12,37,24
1227,9,8,39,25,5
1228,27,34,6,26,46
1229,1,33,3,49,16
1230,11,19,29,44,45
1231,2,9,20,34,42
1232,7,29,32,36,41
1233,2,31,39,45,47
1234,3,5,13,18,39
1235,13,14,17,26,28
1236,1,14,19,23,38
1237,2,5,27,37,42
1238,15,20,23,27,40
1239,13,22,33,44,50
1240,12,13,29,36,38
1241,2,14,35,41,42
1242,13,29,31,33,40
1243,9,10,27,37,42
1244,20,22,23,24,37
1245,4,17,35,42,45
1246,8,26,35,43,47
1247,25,27,45,46,49
1248,7,11,38,39,44
1249,10,13,22,40,48
1250,3,22,25,30,49
1251,1,12,27,42,47
1252,22,37,43,44,45
1253,8,21,25,38,50
1254,2,33,42,47,48
1255,24,37,41,43,46
1256,2,11,18,40,46
1257,6,9,35,41,44
1258,7,10,15,44,49
1259,2,14,19,42,45
1260,3,28,31,32,34
1261,8,18,22,41,42
1262,2,5,32,33,47
1263,34,37,39,40,50
1264,16,18,28,42,49
1265,2,20,39,44,48
1266,9,14,25,33,48
1267,8,17,20,23,45
1268,1,21,23,25,39
1269,3,13,20,32,34
1270,8,10,15,30,42
1271,3,21,32,34,48
1272,2,3,15,19,34
1273,3,7,12,42,50
1274,18,31,32,38,48
1275,1,3,27,39,46
1276,2,10,19,21,47
1277,9,16,18,23,32
1278,1,7,12,25,49
1279,8,24,30,32,34
1280,3,11,13,14,47
1281,1,7,22,26,35
1282,26,31,33,41,48
1283,5,15,20,36,47
1284,5,8,12,37,43
1285,6,17,32,44,46
1286,21,25,29,39,44
1287,8,19,20,29,44
1288,10,11,24,36,46
1289,3,4,6,9,24
1290,1,19,27,31,38
1291,13,18,20,23,30
1292,21,23,33,35,47
1293,9,15,17,25,40
1294,24,26,32,43,46
1295,5,20,35,41,49
1296,11,32,34,38,47
1297,7,23,30,32,45
1298,1,4,18,27,42
1299,8,11,20,22,23
1300,4,14,27,44,45
1301,15,38,43,45,46
1302,11,23,30,37,43
1303,3,11,21,27,36
1304,5,7,8,16,20
1305,3,9,20,34,40
1306,7,12,26,30,33
1307,11,14,27,41,46
1308,12,17,24,30,36
1309,16,19,34,46,50
1310,4,5,14,33,48
1311,3,10,17,33,39
1312,6,29,34,35,40
1313,16,28,32,37,45
1314,10,11,14,23,28
1315,1,5,19,21,28
1316,15,23,26,28,32
1317,19,20,38,45,47
1318,2,10,22,27,41
1319,8,25,32,33,38
1320,9,16,29,37,39
1321,11,23,32,34,39
1322,5,25,32,37,43
1323,3,18,22,27,32
1324,4,9,14,21,27
1325,4,8,11,19,46
1326,10,12,22,26,49
1327,5,11,17,24,37
1328,5,15,27,36,46
1329,2,24,39,45,46
1330,4,9,11,17,39
1331,5,14,19,24,43
1332,2,12,19,46,49
1333,1,10,12,21,26
1334,1,6,11,28,42
1335,4,16,27,37,39
1336,12,16,23,33,41
1337,15,17,23,30,38
1338,11,22,30,37,47
1339,7,15,27,41,43
1340,14,15,24,29,42
1341,8,9,27,28,50
1342,9,13,15,17,34
1343,21,24,30,46,49
1344,1,2,5,15,42
1345,5,20,21,36,41
1346,8,13,14,42,50
1347,9,10,19,42,49
1348,6,12,17,34,42
1349,10,15,35,44,50
1350,7,18,30,37,39
1351,7,12,16,17,31
1352,4,8,10,33,46
1353,6,22,29,40,43
1354,2,9,31,35,41
1355,34,38,42,43,45
1356,16,20,25,30,38
1357,2,10,19,25,45
1358,16,25,28,39,40
1359,19,23,34,37,45
1360,4,14,16,41,44
1361,6,12,15,40,45
1362,4,21,36,41,47
1363,11,15,35,41,50
1364,5,14,38,41,46
1365,15,33,38,40,50
1366,5,6,15,37,42
1367,10,15,19,21,23
1368,13,15,28,32,44
1369,12,16,20,21,28
1370,5,7,18,20,30
1371,7,12,37,40,50
1372,3,19,29,32,38
1373,1,5,17,28,31
1374,16,19,25,30,44
1375,28,29,39,48,50
1376,25,33,38,42,50
1377,2,5,8,14,16
1378,14,20,29,47,49
1379,14,20,27,34,38
1380,1,4,21,24,46
1381,6,9,13,24,41
1382,9,13,21,29,35
1383,2,3,13,17,21
1384,2,10,16,42,50
1385,16,21,27,30,32
1386,7,32,39,40,45
1387,16,28,32,44,48
1388,12,34,37,38,42
1389,18,23,37,41,42
1390,2,10,18,34,35
1391,4,10,27,38,40
1392,25,27,31,35,43
1393,8,16,42,44,47
1394,5,7,25,37,40
1395,1,5,27,36,42
1396,18,20,35,38,48
1397,12,19,37,44,45
1398,5,10,24,31,37
1399,7,23,30,32,36
1400,5,9,25,29,30
1401,4,12,25,46,48
1402,9,18,30,39,45
1403,6,12,22,29,33
1404,2,19,24,26,49
1405,4,5,39,46,48
1406,1,16,21,32,33
1407,4,6,9,11,44
1408,23,25,32,35,47
1409,3,9,35,43,44
1410,2,26,29,36,49
1411,10,12,37,49,50
1412,24,27,28,29,42
1413,4,21,34,40,47
1414,2,21,37,38,50
1415,2,8,32,35,44
1416,16,20,31,47,50
1417,6,11,29,40,48
1418,5,17,28,41,46
1419,3,14,15,19,29
1420,13,14,24,35,49
1421,1,16,24,28,46
1422,3,10,13,28,46
1423,14,22,33,38,47
1424,14,25,34,43,46
1425,6,16,18,29,38
1426,5,13,38,39,40
1427,2,9,13,15,35
1428,1,21,26,30,38
1429,11,13,16,34,40
1430,3,10,26,35,44
1431,7,20,36,40,46
1432,2,11,26,36,47
1433,9,17,21,33,39
1434,11,21,26,30,31
1435,11,20,27,30,41
1436,6,24,26,27,41
1437,1,29,30,33,36
1438,6,12,20,24,48
1439,9,14,29,38,49
1440,2,5,21,27,42
1441,6,19,36,37,49
1442,5,6,8,11,22
1443,5,16,42,47,49
1444,3,12,19,41,48
1445,23,24,26,34,50
1446,5,9,19,21,25
1447,10,23,33,35,37
1448,17,21,23,45,46
1449,7,14,21,26,32
1450,9,37,47,48,49
1451,6,12,44,47,49
1452,12,31,41,42,47
1453,3,9,19,20,23
1454,19,21,36,44,50
1455,2,3,31,46,50
1456,5,13,17,32,43
1457,5,7,13,29,35
1458,7,19,35,42,43
1459,1,6,7,18,28
1460,12,18,35,38,45
1461,5,7,8,10,34
1462,20,25,26,30,38
1463,2,12,20,27,41
1464,6,7,12,33,39
1465,1,15,19,26,48
1466,11,13,14,36,45
1467,1,10,23,42,46
1468,6,13,22,45,49
1469,21,26,31,34,49
1470,4,20,36,40,41
1471,12,17,22,33,39
1472,12,15,20,42,44
1473,10,15,28,32,49
1474,2,3,17,29,43
1475,2,12,25,30,41
1476,17,25,26,33,36
1477,2,9,15,47,50
1478,9,19,21,32,36
1479,22,26,38,47,50
1480,17,21,36,42,46
1481,1,20,41,42,50
1482,19,20,26,33,43
1483,21,22,29,32,46
1484,22,31,38,46,47
1485,11,21,33,38,42
1486,19,21,37,47,48
1487,1,2,15,30,35
1488,12,17,21,34,38
1489,2,26,28,34,41
1490,4,6,15,17,29
1491,7,22,25,43,49
1492,18,28,35,36,41
1493,2,14,37,44,50
1494,4,23,32,33,44
1495,6,17,25,31,46
1496,3,12,19,24,30
1497,5,14,35,36,39
1498,6,16,18,39,47
1499,10,25,29,34,45
1500,1,19,36,38,49
1501,3,25,38,43,49
1502,6,20,34,37,43
1503,13,18,38,42,45
1504,9,20,31,33,44
1505,25,38,41,43,50
1506,5,9,14,26,32
1507,10,13,24,30,42
1508,8,24,26,39,42
1509,6,20,40,42,43
1510,12,18,21,25,31
1511,12,19,22,23,48
1512,1,2,12,19,26
1513,1,9,14,17,43
1514,7,17,21,29,40
1515,6,10,24,27,29
1516,8,11,33,42,43
1517,2,7,21,31,45
1518,1,11,13,24,49
1519,1,15,16,38,45
1520,21,30,31,35,47
1521,6,24,30,32,48
1522,2,12,17,28,46
1523,6,11,21,35,36
1524,4,25,28,34,45
1525,10,11,20,36,37
1526,8,20,26,47,48
1527,3,8,18,24,40
1528,3,25,27,28,29
1529,3,11,17,45,48
1530,5,28,30,48,49
1531,8,22,23,32,50
1532,10,13,27,36,37
1533,15,23,28,34,48
1534,3,10,13,42,49
1535,12,28,29,34,48
1536,6,16,17,25,31
1537,17,26,36,37,40
1538,2,7,27,34,40
1539,19,21,22,31,38
1540,6,23,36,39,47
1541,10,17,28,44,50
1542,10,35,42,47,48
1543,6,18,24,34,46
1544,7,10,25,45,48
1545,28,31,35,43,46
1546,14,18,24,25,50
1547,9,17,29,38,39
1548,6,23,27,40,41
1549,16,18,29,32,50
1550,3,5,17,25,27
1551,3,23,38,43,48
1552,7,18,28,40,48
1553,3,29,33,35,44
1554,18,19,21,27,47
1555,14,17,34,35,42
1556,10,14,25,32,39
1557,2,9,13,19,38
1558,19,26,31,39,48
1559,22,23,25,38,44
1560,4,6,10,15,19
1561,7,12,13,20,45
1562,7,10,22,29,44
1563,17,23,24,26,27
1564,9,12,15,40,47
1565,10,27,36,45,49
1566,11,21,23,32,48
1567,14,15,22,35,48
1568,4,20,21,34,44
1569,1,2,11,16,26
1570,3,18,28,42,43
1571,26,27,42,45,50
1572,8,23,32,35,40
1573,24,28,29,34,48
1574,3,5,13,42,48
1575,25,26,28,38,40
1576,7,24,34,39,46
1577,14,16,21,28,35
1578,19,37,42,47,48
1579,2,11,37,45,47
